Qty,Unit,Name of Equipment,Description/Specification,Location/Room,Date Delivered,Serial No.,Remarks
1,unit,External Slim DVD-RW,ASUS SDRW-08D2S-U Lite,ICT Dept.,,HBD0AP007923,Functional
4,units,WIFI Range Extender,TP-LINK Wi-Fi Range Extender,ICT Dept.,,2.17855E+12,Functional
,,,,,,2.17855E+12,Functional
,,,,,,2.17855E+12,Functional
,,,,,,2.17855E+12,Functional
1,units,Hand Vacuum,Blast Vac 2 Turbo-Powered Hand Vacuum,ICT Department,6/20/2018,XL202B-V2261,Functional
1,unit,Hand Vacuum,Blast Vac 2 Turbo-Powered Hand Vacuum,,7/25/2018,,On Hand
3,units,TP Link (LAN Card),Gigabit PCI Express Network Adopter ,,10/03/2018,2.18165E+12,On Hand
,,,Model no. TG-3468 (UN),,,2.18637E+12,On Hand
,,,,,,2.18637E+12,On Hand
1,unit,Glue Gun,Big Glue Gun,ICT ,11/16/18,,
9,units,Office Chair,Ergonomic Chair,ICT ,06/11/2019,,Functional
1,unit,Stand Fan,Standard,ICT,,,Functional
1,unit,Desk Fan,Hanabishi,ICT,,,Functional
2,units,TP-link Archer C5400,AC5400 Wireless Tri-band MU-MIMO Gigabit Router,Convent,03/08/2019,2186013R00140,Functional
,,,,ICT,,2186013R00148,On Hand
1,unit,Printer,Epson L565,ICT,04/11/2019,VJLY099039,Functional
1,unit,Router Board,MikroTik Routerboard RB4011series,ICT,07/11/2019,B8F40A953B44/919,Functional
2,units,Router,TP Link AC2600 TL-WDR8690,Le Berceau,7/22/19,1195B36003636,Functional
,,,Donated by Chinese Students,,,1195B36006624,Functional
1,unit,Crimping Tool,Aucas Dual Modular Crimping Tool,,7/29/19,,Functional
1,unit,Desktop Switch TL-SG1008D,TP-Link 8-Port Gigabit Desktop Switch,,8/13/19,2.19566E+12,Functional
2,unit,USB 2.0 Flash Drive,ScanDisk 32GB,,7/17/2020,,
1,unit,Optical Power Meter,Power Meter,,01/05/2021,,
1,unit,Visual Fault Locator,Visual Fault Locator,,01/05/2021,,
2,units,TP Link,Gigabit PoE Injector,,2/17/2021,220B4R9006382,Functional
,,,,,,220B4R9006372,On Hand
1,unit,VGA/HDMI APADTER,USB 3.0 TO VGA/HDMI APADTER,,,,
1,unit,Logitech,Webcam ,,3/16/2021,2037LZ52S2B9,
3,units,Seagate SSD,480GB/500GB SATA SSD,,06/01/2021,7RV02B8H,
,,,,,,7RV02BC9,
,,,,,,7RV02BA7,
4,units,Router,LINKSYS E5600 Dual-Band Wifi 5,,6/22/2022,37C10M1CA07865,Functional
,,,,,,37C10M1CA06863,Functional
,,,,,,37C10M1CA07779,Functional
,,,,,,37C10M1CA07509,Functional
5,units,SSD220Q Solid State Drive,Transcend,,5/23/23,H80555-0294,
,,,,,,H80555-0333,
,,,,,,H80555-0334,
,,,,,,H80555-0335,
,,,,,,H80555-0336,
5,units,A4TECH,Keyboard and Mouse,,5/23/23,,
1,unit,Vention, 5 In 1 Out HDMI Switcher,,08/02/2023,6.92279E+12,
2,units,Elgato,Cam Link 4K,,08/02/2023,FX28L1A02638,
,,,,,08/05/2023,A29YB31920343X,
3,units,USB Audio,"Scarlet 2i2 Third-Generation 2-IN, 2-OUT USB Audio Interface ",,08/02/2023,Y8MN2MT116ABCE,
,,,,,08/05/2023,Y89FH0V0B5F986,
,,,,,08/05/2023,Y8JQX0K116ABC1,
5,units,Saramonic Headset,WiTalk System with Charger,,08/02/2023,SR23042210264,
1,unit,Yamaha MG10XU,Mixing Console,,,EGDK01349,
1,unit,CCTV Tester,IP Camera Tester,,8/24/23,50230F8220426038,
1,unit,View Sonic Monitor,VA2215-h Series,,09/01/2023,WNK232322083,
1,unit,Trendsonic CPU,Cronus AMD Ryzen Systems,,,,
1,unit,Keyboard/Mouse,A4Tech KK-3330 ,,,,
1,unit,Power Supply,Socomec Netys PE,,,,
1,unit,GeForce RTX,Asus Dual,,,R6YVNC013284SL7,
1,unit,Motherboard,ROG STRIX B760-R Gaming Wifi D4,,,R1M0CS02K9217JA,
1,unit,SSD Seagate,One Touch 2TB HDD,,,NACN4W7J,
2,units,BovBox HD Extender ,Wireless HDMI Transmitter & Receiver,,10/06/2023,,
5,units,Extension Wheel,Omni Universal Extension Wheel,,,,
2,units,USB 3.0 Gigabit,Ethernet Adapter,,11/07/2023,,
1,unit,Sugon T26D,Soldering Station,,11/07/2023,CG20217151HT,
1,unit,,Rode Wireless Go,,,FN00298951,
5,units,,Ugreen USB 2.0 Stereo Sound Adapter,,,2.3003E+12,
,,,,,,2.3003E+12,
,,,,,,2.3003E+12,
,,,,,,2.3003E+12,
,,,,,,2.3003E+12,
4,units,,Rode Wireless Go II,,05/11/2024,HH0385082,
,,,,,,HH0385074,
,,,,,,HH0385080,
,,,,,,HH0385091,
1,unit,Laptop,Omen 16 Ordinateur Portable,ICT Head,5/20/2024,HA7HA000110/N24099-A01,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
